time,LP1,LP2,LP3,LP4,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,temp
1609,4066,4055,4066,4067,0,0,0,-50,-8,-63,-1
1615,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1620,4065,4055,4064,4066,0,0,0,-50,-8,-63,-1
1625,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1630,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
1635,4066,4054,4064,4066,0,0,0,-50,-8,-63,-1
1640,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1645,4066,4054,4065,4067,0,0,0,-50,-8,-63,-1
1650,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1655,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1660,4066,4055,4066,4065,-63,0,0,-50,-8,-63,-1
1665,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1671,4065,4055,4066,4066,-63,0,0,-50,-8,-63,-1
1676,4066,4054,4065,4067,0,0,0,-50,-8,-63,-1
1680,4065,4054,4064,4066,0,0,0,-50,-8,-63,-1
1685,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1691,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
1696,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1701,4066,4054,4065,4065,0,0,0,-50,-8,-63,-1
1706,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
1711,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1716,4066,4055,4065,4066,0,-63,-63,-50,-8,-63,-1
1721,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1726,4066,4055,4064,4065,0,0,0,-50,-8,-63,-1
1731,4065,4055,4066,4066,-63,0,0,-50,-8,-63,-1
1736,4066,4054,4066,4066,-63,0,-63,-50,-8,-63,-1
1741,4066,4055,4066,4067,-63,0,-63,-50,-8,-63,-1
1746,4066,4055,4064,4066,-63,0,-63,-50,-8,-63,-1
1751,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1756,4065,4055,4065,4067,-63,0,0,-50,-8,-63,-1
1760,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1765,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1770,4065,4054,4065,4067,0,0,0,-50,-8,-63,-1
1776,4065,4055,4066,4066,-63,0,0,-50,-8,-63,-1
1780,4065,4054,4064,4066,-63,0,0,-50,-8,-63,-1
1785,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
1790,4065,4054,4066,4066,0,0,0,-50,-8,-63,-1
1796,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1800,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1805,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1810,4065,4055,4065,4065,0,0,0,-50,-8,-63,-1
1816,4065,4055,4064,4065,0,0,0,-50,-8,-63,-1
1820,4065,4054,4066,4066,0,0,0,-50,-8,-63,-1
1825,4064,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1830,4066,4055,4065,4065,-63,0,0,-50,-8,-63,-1
1836,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1841,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1846,4066,4054,4065,4065,0,0,0,-50,-8,-63,-1
1851,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1856,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1861,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1866,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1871,4066,4054,4065,4065,0,0,0,-50,-8,-63,-1
1876,4066,4054,4066,4065,0,0,0,-50,-8,-63,-1
1880,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1885,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1890,4066,4055,4066,4066,0,0,-63,-50,-8,-63,-1
1895,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1900,4067,4055,4064,4066,0,0,0,-50,-8,-63,-1
1905,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1911,4067,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1916,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1921,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1926,4065,4055,4064,4067,0,0,0,-50,-8,-63,-1
1931,4065,4054,4066,4066,-63,0,0,-50,-8,-63,-1
1936,4065,4055,4066,4066,0,0,0,-50,-8,-63,-1
1941,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1946,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1951,4065,4054,4066,4065,0,-63,0,-50,-8,-63,-1
1956,4067,4054,4066,4067,0,0,0,-50,-8,-63,-1
1961,4066,4054,4066,4065,-63,0,0,-50,-8,-63,-1
1966,4065,4055,4064,4066,-63,0,0,-50,-8,-63,-1
1972,4066,4055,4064,4065,-63,0,0,-50,-8,-63,-1
1976,4066,4054,4066,4067,0,0,-63,-50,-8,-63,-1
1981,4066,4055,4065,4066,0,0,-63,-50,-8,-63,-1
1986,4066,4055,4065,4066,-63,0,-63,-50,-8,-63,-1
1992,4066,4055,4065,4066,-63,0,-63,-50,-8,-63,-1
1996,4067,4055,4065,4066,-63,0,0,-50,-8,-63,-1
2001,4067,4054,4064,4066,-63,0,-63,-50,-8,-63,-1
2006,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
2011,4067,4055,4065,4066,0,0,0,-50,-8,-63,-1
2016,4066,4054,4064,4066,0,0,0,-50,-8,-63,-1
2021,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
2027,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
2032,4065,4055,4065,4065,0,0,0,-50,-8,-63,-1
